Query;Nombre;Precio;Supermercado
leche entera;Leche entera Hacendado;5.82;Mercadona
leche entera;Leche entera Hacendado;0.97;Mercadona
leche entera;Leche entera Asturiana;7.74;Mercadona
leche entera;Leche entera Hacendado;1.71;Mercadona
leche entera;Leche entera Asturiana;11.94;Mercadona
aceite oliva;Aceite de oliva virgen extra Hacendado;4.95;Mercadona
aceite oliva;Aceite de oliva virgen extra Hacendado;14.55;Mercadona
aceite oliva;Aceite de oliva 0,4º Hacendado;4.1;Mercadona
aceite oliva;Aceite de oliva 0,4º Hacendado;19.75;Mercadona
aceite oliva;Aceite de oliva virgen Hacendado;12.85;Mercadona
arroz;Arroz largo Hacendado;1.35;Mercadona
arroz;Arroz redondo Hacendado;1.3;Mercadona
arroz;Arroz redondo SOS;1.88;Mercadona
arroz;Arroz para microondas Hacendado ultracongelado;2.0;Mercadona
arroz;Arroz cocido basmati Sabroz;1.15;Mercadona
huevos;Huevos grandes L;3.3;Mercadona
huevos;Huevos;5.75;Mercadona
huevos;Huevos de gallinas camperas;3.7;Mercadona
huevos;Huevos grandes L;1.8;Mercadona
huevos;Huevos medianos M;3.1;Mercadona
pan de molde;Pan de molde blanco familiar Hacendado;1.18;Mercadona
pan de molde;Pan de molde blanco sin corteza Hacendado;1.13;Mercadona
pan de molde;Pan de molde 100% integral sin corteza Hacendado;1.23;Mercadona
pan de molde;Pan de molde 100% integral familiar Hacendado;1.18;Mercadona
pan de molde;Pan de molde blanco natural rústico Hacendado;1.51;Mercadona
